edge_1based,curl_mode_1,curl_mode_2,curl_mode_3,curl_mode_4,curl_mode_5,curl_mode_6,curl_mode_7,curl_mode_8,curl_mode_9,curl_mode_10,curl_mode_11,curl_mode_12
28,0.022882497833352722,0.13565640480130908,0.1664547724918399,-0.086086891268429055,-0.12554019985598253,5.015750602334031e-17,0.0019240942209927123,0.055504173614280262,0.043957503260981703,0.019276002136687117,-0.013748424738178697,-2.1022358174582756e-05
29,0.00053928616638082572,0.063088674743343301,0.0056602880527612618,-0.021353281425531417,0.047259512526643316,1.362568663520571e-16,0.013523006478306475,0.018672888719389429,-0.033873670333287691,0.0013708031198669673,-0.022449179001262712,0.00016647151702123969
30,0.0024934517074415852,0.098037953103155134,0.0089422809699900296,-0.070124133971006641,0.19469712611136505,2.2137462888891475e-16,-0.022995733969674755,-0.011438066725091456,-0.016328082428586198,-0.018217854395122871,0.09308348516642137,0.00061159225128783537
31,0.0053005553844131664,-0.046815795583694697,0.0026466786512063236,-0.098975864439490302,0.022497414902237819,2.0487622960736771e-16,0.01502885228740071,0.062000790574012268,0.042242740964021377,-0.068141405439667818,-0.035286646531867819,-0.00085761433898339651
32,0.021343379915171101,-0.20255894764427212,-0.034393140273520008,-0.13442826731563146,-0.12661105101544087,-5.3719473397917878e-18,-0.016256352989121321,-0.03568160183313912,-0.013222166071266042,0.0013774508620426002,0.021279917481633541,-2.8025258392056981e-05
33,0.0019070452296183066,-0.00025433668565127965,-0.0041061508680751511,0.014225972717249041,-0.080296893078405374,-7.4058465702037015e-16,0.07149403928818425,0.075049731058458177,-0.030043160097538889,-0.014588716610723543,-0.069872734599173841,0.00037804653773680467
34,0.0046106567307977455,-0.11293401615366253,-0.0074863747810408991,0.14329448038947654,-0.049148477318340517,1.1300020279245687e-16,-0.053025011184997931,-0.038122696331157516,-0.026826234026105164,-0.0080049092401190888,0.047220294862090111,-0.00030059932135568037
35,0.0036958452597917061,0.014031120967905347,-0.026726595529940222,-0.031831967043802076,-0.00030220153905911873,-1.3732711814370153e-16,0.057603574367187105,0.092503418460905359,-0.092790711627162306,0.013810499942017267,0.0072686047786645995,0.0016614966264587934
36,-0.0054200480646040064,0.047172794699836103,0.011025790307730404,-0.11289158267591706,0.072424262081888097,3.6464177433213958e-16,0.18888933554851159,-0.0081920983685627308,0.15716805103942821,-0.013245101518091662,-0.0020675789688539854,-0.0010872643046419021
37,0.0064599762815297718,0.045030710318192897,-0.06078753463887103,-0.00075933117002670303,0.025239724418044993,-8.0483124475526742e-16,-0.12546011329208087,-0.022887994513128312,-0.088973747617357324,0.026023731459001054,-0.0053026547160862879,-0.0025597392050841056
38,0.0065783757980340538,0.11078618732143725,0.053750987464715939,0.082229891406968986,-0.054495355361223394,2.7536141809372664e-16,-0.077627059429503181,-0.019081748987632541,-0.01695738841278541,-0.01552138162960872,0.0037566979063057833,0.0026625725481083935
39,0.016235359010567284,-0.097675220460730558,-0.049043655900257589,0.11920891215049702,0.054744364058818315,2.6162240718280929e-16,0.022745557220533778,-0.049979167721242376,0.074748095156772332,0.017583573738073531,-0.0073321245007282512,-0.00011501222402191354
40,-0.0099616743201294371,-0.098454667197111184,0.066560493958229092,-0.094941242122306119,-0.016516771202934696,-9.4984586985121708e-16,-0.10332442727762341,0.029677059677613457,0.0053314037595718674,-0.037280172758258574,-0.00094292155500842745,-0.0071921770984210327
41,0.002343370305170634,-0.10453502514235496,-0.070549737091804288,0.12636226456128094,-0.026651859935775058,1.0547150401413059e-15,0.11752226445069586,0.020484782191710096,-0.056568318768857248,0.040022924446957875,0.0045564573336429829,0.0081766080600386634
42,0.016556382708635645,-0.12561154756748746,-0.0032312783580706259,-0.030072602282407254,-0.070255716624012782,6.6541438059494253e-17,0.0074770031673118166,-0.17632035411192634,0.0082158097271113617,-0.1621032411785242,-0.039846221414865345,7.5711050249181559e-05
43,0.0090287013672468962,-0.18363801111331285,-0.043285797925319267,0.050894866063722184,0.055042766106980279,-0.033606471628668443,-0.0028248276008873974,0.053304499225664062,-0.002078380638533113,0.036745699668950457,0.0078706939461799449,-1.2452006122694239e-05
44,0.0090287013672468771,-0.18363801111331299,-0.043285797925323444,0.050894866063723364,0.055042766106978003,0.033606471628668408,-0.0028248276008783456,0.05330449922566307,-0.0020783806385335779,0.036745699668948563,0.0078706939461799554,-1.2452006122727686e-05
45,-0.0090287013672473663,0.18363801111331296,0.043285797925321841,-0.050894866063721581,-0.055042766106980293,0.033606471628668685,0.0028248276008871961,-0.053304499225664062,0.0020783806385340428,-0.036745699668950624,-0.0078706939461799501,1.245200612268318e-05
46,-0.0090287013672473646,0.1836380111133129,0.043285797925320481,-0.050894866063723822,-0.055042766106977781,-0.033606471628668429,0.0028248276008784427,-0.053304499225663063,0.0020783806385325371,-0.036745699668948251,-0.0078706939461799102,1.245200612271473e-05
47,0.020024026668391232,-0.14682299676775712,0.11162197059279204,-0.17671872708242922,0.07860818605661582,6.6593583055889236e-17,0.012344510765087312,-0.10852658499192437,-0.030327481975922898,0.065097950112198433,0.012527052815884232,-7.2080876039866491e-06
48,0.03898303492318813,-0.14130947719604606,-0.041351502298708279,0.089416880072984428,-0.19809107939599396,-4.2943431735988965e-17,-0.0087164946384428281,0.07213751752946565,-0.030812189664808438,-0.017355312519790791,0.01586598318840109,-7.2507615364719984e-06
