edge_1based,gradient_mode_1,gradient_mode_2,gradient_mode_3,gradient_mode_4,gradient_mode_5,gradient_mode_6,gradient_mode_7,gradient_mode_8,gradient_mode_9,gradient_mode_10,gradient_mode_11,gradient_mode_12
82,0.08183234649687357,-0.092474942904507251,0.048690119620584199,0.020985495438271509,-0.062883561566467988,0.035114784840122815,-0.057863756923431563,0.093433833799891702,0.045164147060757699,-0.047814661761128988,-0.010941542844198435,-0.028645492219406658
83,0.10854526100256214,-0.092477388198638641,0.16573245681630219,-0.0049236457392847592,0.22232558640305958,0.06641917658275967,-0.018418780670385406,0.12465623680937561,0.046260705004888485,-0.038521084878895787,-0.011567548805756979,0.021840022163177455
84,-0.025893645282789864,0.0065797549669882353,0.076354013699013429,-0.0092351327104404583,0.022074363975672476,0.021579380790894678,-0.016680875543219644,0.098002247166615472,-0.0028590905851705421,6.185896605201413e-05,-0.0066309502204713183,0.097159716970969034
85,-0.01596388921789587,0.018926074710929126,0.10536701736587348,0.043529870672696085,0.01883618065718989,0.039562083272736921,0.0056253912654086156,0.083216013105585185,-0.12331427221548232,0.0014355912438043811,-0.005234151279901976,0.016338453149899377
86,0.012783308239035621,-8.9567376089550485e-05,0.06442295327610241,0.041989040281324219,0.0099008464108490957,0.041572182786739159,-0.055415408582093414,0.052257683895394619,0.0018840508037281292,-0.014275514708881387,-0.029831688728542274,-0.10004913474572044
87,-0.015201624641861141,-0.017213407927167929,0.037040476885502466,-0.047855811991262029,-0.021121640604217107,0.11463963107424849,-0.063444584185697858,-0.039171415955124092,-0.054736552066560078,-0.0043310953323725809,-0.0045752938518028863,-0.0960808546437181
88,-0.016222003268500977,-0.012503170202362102,0.092377994700787586,-0.057109853581567074,-0.044888413951238347,-0.021759842431432239,0.018311344538601129,-0.098064806601296892,-0.046673116907210627,0.01949017192994644,-0.021154045284603445,-0.11440705749511891
89,0.009929756064893951,0.012346319743940968,0.029013003666860104,0.052765003383136555,-0.0032381833184825983,0.017982702481842229,0.022306266808628242,-0.014786234061030242,-0.12045518163031181,0.0013737322777523618,0.0013967989405692747,-0.080821263821069703
90,0.038676953521825298,-0.0066693223430779195,-0.011931060422911165,0.051224172991764662,-0.012173517564823428,0.019992801995844411,-0.038734533038873739,-0.045744563271220839,0.0047431413888987459,-0.014337373674933422,-0.023200738508070987,-0.19720885171668939
91,0.044713005749414537,0.014583792091627476,0.055620865931805853,0.069415699862310096,-0.0023498204435503265,-0.014514960042094792,-0.074527738528760795,0.058040526338234158,-0.064451920369935897,0.0039926623157835323,0.0026109612173152441,-0.15122546556844127
92,-0.0010203786266396798,0.0047102377248059149,0.055337517815285203,-0.009254041590305101,-0.023766773347021236,-0.13639947350568077,0.081755928724298987,-0.058893390646172834,0.0080634351593495066,0.023821267262319035,-0.016578751432800527,-0.018326202851400804
93,0.02513138070675543,0.029559727671108885,-0.0080274732186423441,0.10062081537439854,0.017883457285734497,-0.096656928592406252,0.085750850994326097,0.024385181894093819,-0.065718629563751657,0.005704827610124974,0.0059720927923721523,0.015259590822648472
94,0.053878578163686922,0.010544085584090118,-0.04897153730841354,0.09907998498302667,0.0089481230393937475,-0.094646829078404049,0.024710051146824136,-0.006573147316096776,0.059479693455458796,-0.010006278342560862,-0.018625444656268128,-0.10112799707297133
95,0.026151759333395128,0.024849489946302993,-0.063364991033927565,0.10987485696470367,0.041650230632755705,0.039742544913274475,0.0039949222700271575,0.083278572540266646,-0.073782064723101129,-0.018116439652194102,0.022550844225172683,0.033585793674049361
96,0.060935009017915757,0.027086962293989516,-0.03675712876898167,0.12652555344387723,0.042538593507688002,0.0072448823893374939,-0.09283908306736198,0.15610533293953108,-0.017778803462725281,-0.015497509614162913,0.023765006501918741,-0.036818408073322186
97,0.028747197456931543,-0.019015642087018773,-0.040944064089771186,-0.0015408303913718863,-0.0089353342463408224,0.0020100995140021898,-0.061040799847501999,-0.030958329210190594,0.12519832301921049,-0.015711105952685808,-0.02459753744864026,-0.11638758789561982
98,0.034783249684520678,0.002237472347686485,0.026607862264945825,0.016650696479173561,0.00088836287493231775,-0.032497662523937001,-0.096834005337389062,0.072826760399264334,0.056003261260375942,0.0026189300380311739,0.0012141622767460093,-0.070404201747371567
99,0.11827907528319608,0.028626510555702721,0.049583950468665518,-0.067102961260406865,-0.061480629607202228,0.038983026412525275,-0.047298596448843717,-0.10637434290511012,0.080264162182554666,0.0071319231922572727,-0.005860790498875796,-0.052081815655641184
100,0.0060360522275890458,0.021253114434705307,0.067551926354717032,0.018191526870545458,0.0098236971212730846,-0.034507762037939205,-0.035793205489887098,0.10378508960945503,-0.069195061758834553,0.018330035990716989,0.025811699725386293,0.045983386148248269
